[DeathLog] [2024-08-31T19:53:42.7538073] Position{x=3212, y=3218, z=0}
[DeathLog] [2024-08-31T19:56:01.0420745] Position{x=3212, y=3218, z=0}
[DeathLog] [2024-08-31T22:42:48.7370336] Position{x=3212, y=3218, z=0}
[DeathLog] [2024-08-31T23:14:24.5953937] Position{x=3212, y=3218, z=0}
[DeathLog] [2024-09-01T10:51:01.723556] Position{x=3212, y=3218, z=0}
[DeathLog] [2024-09-04T11:55:12.7695045] Position{x=3212, y=3218, z=0}
[DeathLog] [2024-11-16T13:29:16.6747246] Position{x=3212, y=3218, z=0}
[DeathLog] [2024-11-16T13:40:58.7496] Position{x=3212, y=3218, z=0}
[DeathLog] [2025-07-08T16:35:57.9310052] Position{x=3212, y=3218, z=0}
[DeathLog] [2025-07-08T16:38:07.4711295] Position{x=3212, y=3218, z=0}
[DeathLog] [2025-07-12T20:15:09.494667] Position{x=3212, y=3218, z=0}
[DeathLog] [2025-07-12T22:05:32.2828069] Position{x=1707, y=10080, z=0}
[DeathLog] [2025-07-12T22:27:58.0465067] Position{x=3212, y=3218, z=0}
[DeathLog] [2025-07-12T23:49:16.5177091] Position{x=2155, y=3429, z=0}
[DeathLog] [2025-07-12T23:55:40.5369219] Position{x=2156, y=3428, z=0}
[DeathLog] [2025-07-20T09:11:47.5514645] Position{x=2449, y=10144, z=0}
[DeathLog] [2025-07-29T23:02:45.9016173] Position{x=3101, y=3496, z=0}
[DeathLog] [2025-07-30T16:32:06.4299528] Position{x=3212, y=3218, z=0}
[DeathLog] [2025-07-30T16:37:30.2175348] Position{x=3212, y=3218, z=0}
[DeathLog] [2025-07-31T08:48:30.5893739] Position{x=3101, y=3496, z=0}
[DeathLog] [2025-07-31T16:14:16.2091294] Position{x=3221, y=3215, z=0}
[DeathLog] [2025-07-31T16:17:12.6057656] Position{x=3212, y=3218, z=0}
[DeathLog] [2025-07-31T16:18:09.7678928] Position{x=3212, y=3218, z=0}
[DeathLog] [2025-07-31T17:25:09.1214653] Position{x=3216, y=3217, z=0}
