[ItemPickupLog] [2025-08-02T20:07:30.4084133] Picked up GameItem{name=Casket, id=2714, amount=197} at Position{x=3217, y=3234, z=0}, owner mercy
[ItemPickupLog] [2025-08-05T19:08:07.3782994] Picked up GameItem{name=Steel key purple, id=3459, amount=1} at Position{x=1255, y=3571, z=0}, owner mercy
[ItemPickupLog] [2025-08-05T19:08:09.641843] Picked up GameItem{name=Common Raids Key, id=3456, amount=496} at Position{x=1255, y=3571, z=0}, owner mercy
[ItemPickupLog] [2025-08-05T20:13:09.603062] Picked up GameItem{name=Ring of 3rd age, id=23185, amount=1} at Position{x=3213, y=3217, z=0}, owner mercy
[ItemPickupLog] [2025-08-05T20:13:10.7998384] Picked up GameItem{name=Mahogany plank, id=8782, amount=1} at Position{x=3213, y=3217, z=0}, owner mercy
[ItemPickupLog] [2025-08-05T20:13:11.4020434] Picked up GameItem{name=Wine of zamorak, id=246, amount=35} at Position{x=3213, y=3217, z=0}, owner mercy
[ItemPickupLog] [2025-08-08T13:10:04.4400927] Picked up GameItem{name=Buldging Coin Bag, id=10835, amount=1} at Position{x=2979, y=4380, z=2}, owner mercy
[ItemPickupLog] [2025-08-08T13:10:06.2415433] Picked up GameItem{name=Holy elixir, id=12833, amount=1} at Position{x=2979, y=4380, z=2}, owner mercy
[ItemPickupLog] [2025-08-08T13:10:06.8426706] Picked up GameItem{name=Uncut ruby, id=1620, amount=12} at Position{x=2979, y=4380, z=2}, owner mercy
[ItemPickupLog] [2025-08-08T13:24:58.9482022] Picked up GameItem{name=Red dragonhide, id=1750, amount=10} at Position{x=2314, y=6369, z=0}, owner mercy
[ItemPickupLog] [2025-08-08T19:28:20.3058064] Picked up GameItem{name=Mini Mystery Box, id=6679, amount=1} at Position{x=2283, y=4772, z=0}, owner mercy
[ItemPickupLog] [2025-08-08T19:28:20.9044879] Picked up GameItem{name=Trailblazer reloaded trousers (t3), id=28742, amount=1} at Position{x=2283, y=4772, z=0}, owner mercy
[ItemPickupLog] [2025-08-08T19:28:22.1197652] Picked up GameItem{name=@cya@AFK Token, id=7478, amount=15,000} at Position{x=2283, y=4772, z=0}, owner mercy
[ItemPickupLog] [2025-08-08T19:28:23.3186595] Picked up GameItem{name=Coins, id=995, amount=92,401} at Position{x=2283, y=4772, z=0}, owner mercy
[ItemPickupLog] [2025-08-08T19:28:25.7201945] Picked up GameItem{name=@cya@AFK Token, id=7478, amount=2,500} at Position{x=2283, y=4772, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:17.4916732] Picked up GameItem{name=Coins, id=995, amount=23} at Position{x=2280, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:17.5208601] Picked up GameItem{name=Air rune, id=556, amount=1} at Position{x=2280, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:17.5238628] Picked up GameItem{name=Coins, id=995, amount=28} at Position{x=2279, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:17.5238628] Picked up GameItem{name=Water rune, id=555, amount=2} at Position{x=2279, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:17.5258636] Picked up GameItem{name=Coins, id=995, amount=23} at Position{x=2282, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:17.5258636] Picked up GameItem{name=Water rune, id=555, amount=5} at Position{x=2282, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:19.2965392] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2275, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:19.2975404] Picked up GameItem{name=Water rune, id=555, amount=5} at Position{x=2275, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:19.2995397] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2277, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:19.2995397] Picked up GameItem{name=Water rune, id=555, amount=3} at Position{x=2277, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:19.3045406] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2281, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:19.3045406] Picked up GameItem{name=Air rune, id=556, amount=2} at Position{x=2281, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:19.3065421] Picked up GameItem{name=Coins, id=995, amount=16} at Position{x=2277, y=4769, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:19.3075403] Picked up GameItem{name=Air rune, id=556, amount=3} at Position{x=2277, y=4769, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:19.3105418] Picked up GameItem{name=Coins, id=995, amount=2} at Position{x=2280, y=4773, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:19.3115419] Picked up GameItem{name=Air rune, id=556, amount=2} at Position{x=2280, y=4773, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:22.2961853] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2287, y=4775, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:22.2961853] Picked up GameItem{name=Air rune, id=556, amount=4} at Position{x=2287, y=4775, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:22.2981858] Picked up GameItem{name=Coins, id=995, amount=5} at Position{x=2280, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:22.2981858] Picked up GameItem{name=Water rune, id=555, amount=3} at Position{x=2280, y=4771, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:22.3001864] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2279, y=4765, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:22.3011858] Picked up GameItem{name=Air rune, id=556, amount=3} at Position{x=2279, y=4765, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:22.3011858] Picked up GameItem{name=Small Coin Bag, id=10832, amount=1} at Position{x=2279, y=4765, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:22.3031875] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2279, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:22.3031875] Picked up GameItem{name=Air rune, id=556, amount=1} at Position{x=2279, y=4770, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:22.3051873] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2280, y=4769, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:22.3051873] Picked up GameItem{name=Water rune, id=555, amount=5} at Position{x=2280, y=4769, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:22.3071892] Picked up GameItem{name=Iron platebody, id=1115, amount=1} at Position{x=2279, y=4769, z=0}, owner mercy
[ItemPickupLog] [2025-08-09T16:14:22.3071892] Picked up GameItem{name=Water rune, id=555, amount=4} at Position{x=2279, y=4769, z=0}, owner mercy
