[ClickObjectLog] [2024-09-04T13:14:09.9264603] Clicked object WorldObject{x=3358, y=9119, height=0, id=46068, type=10, face=2} option 1
[ClickObjectLog] [2024-09-04T13:14:30.3890215] Clicked object WorldObject{x=3357, y=9112, height=0, id=46089, type=10, face=2} option 1
[ClickObjectLog] [2024-09-04T13:14:31.0520963] Clicked object WorldObject{x=3357, y=9112, height=0, id=46089, type=10, face=2} option 1
[ClickObjectLog] [2025-07-28T00:03:46.8776764] Clicked object WorldObject{x=2411, y=3826, height=0, id=8929, type=10, face=2} option 1
[ClickObjectLog] [2025-07-28T00:08:48.5737676] Clicked object WorldObject{x=2411, y=3826, height=0, id=8929, type=10, face=2} option 1
[ClickObjectLog] [2025-07-28T00:08:48.5737676] Clicked object WorldObject{x=2411, y=3826, height=0, id=8929, type=10, face=2} option 1
[ClickObjectLog] [2025-07-28T00:09:54.1815778] Clicked object WorldObject{x=2411, y=3826, height=0, id=8929, type=10, face=2} option 1
[ClickObjectLog] [2025-07-28T00:21:19.0969712] Clicked object WorldObject{x=2411, y=3826, height=0, id=8929, type=10, face=2} option 1
[ClickObjectLog] [2025-07-28T01:15:57.3198861] Clicked object WorldObject{x=3146, y=3274, height=0, id=1278, type=10, face=0} option 1
[ClickObjectLog] [2025-07-28T18:39:08.5405376] Clicked object WorldObject{x=3217, y=3269, height=0, id=1278, type=10, face=3} option 1
[ClickObjectLog] [2025-07-28T18:39:10.959901] Clicked object WorldObject{x=3217, y=3269, height=0, id=1278, type=10, face=3} option 1
[ClickObjectLog] [2025-07-28T18:39:12.1590546] Clicked object WorldObject{x=3217, y=3269, height=0, id=1278, type=10, face=3} option 1
[ClickObjectLog] [2025-07-28T18:39:12.7640364] Clicked object WorldObject{x=3217, y=3269, height=0, id=1278, type=10, face=3} option 1
[ClickObjectLog] [2025-07-28T18:39:12.7650391] Clicked object WorldObject{x=3217, y=3269, height=0, id=1278, type=10, face=3} option 1
[ClickObjectLog] [2025-07-28T19:01:24.5062156] Clicked object WorldObject{x=3207, y=3244, height=0, id=10820, type=10, face=0} option 1
[ClickObjectLog] [2025-07-28T19:02:09.6782754] Clicked object WorldObject{x=3225, y=3204, height=0, id=12768, type=10, face=3} option 1
[ClickObjectLog] [2025-07-28T19:02:12.0870436] Clicked object WorldObject{x=3223, y=3207, height=0, id=2996, type=10, face=2} option 1
[ClickObjectLog] [2025-07-28T19:02:13.2919908] Clicked object WorldObject{x=3220, y=3207, height=0, id=2079, type=10, face=0} option 2
[ClickObjectLog] [2025-07-28T19:02:14.510938] Clicked object WorldObject{x=3218, y=3204, height=0, id=172, type=10, face=1} option 1
[ClickObjectLog] [2025-07-28T19:02:59.993026] Clicked object WorldObject{x=3218, y=3204, height=0, id=172, type=10, face=1} option 1
[ClickObjectLog] [2025-07-28T19:03:04.2003922] Clicked object WorldObject{x=3218, y=3204, height=0, id=172, type=10, face=1} option 1
[ClickObjectLog] [2025-07-28T19:04:03.2377888] Clicked object WorldObject{x=3218, y=3204, height=0, id=172, type=10, face=1} option 1
[ClickObjectLog] [2025-07-28T19:04:08.6723866] Clicked object WorldObject{x=3218, y=3204, height=0, id=172, type=10, face=1} option 1
